seq_index;scenario_rank;scenario_proba_cond_seq;GeneChoice_V_gene_Undefined_side_prio7_size89;GeneChoice_J_gene_Undefined_side_prio7_size15;GeneChoice_D_gene_Undefined_side_prio6_size3;Deletion_V_gene_Three_prime_prio5_size21;Deletion_D_gene_Five_prime_prio5_size21;Deletion_J_gene_Five_prime_prio5_size23;Deletion_D_gene_Three_prime_prio5_size21;Insertion_VD_genes_Undefined_side_prio4_size31;DinucMarkov_VD_genes_Undefined_side_prio3_size16;Insertion_DJ_gene_Undefined_side_prio2_size31;DinucMarkov_DJ_gene_Undefined_side_prio1_size16;Mismatches
124;1;0.193462;(19);(4);(0);(8);(2);(9);(7);(6);(3,2,2,0,3,1);(1);(3);()
124;2;0.101087;(19);(4);(0);(8);(0);(9);(7);(4);(3,2,2,0);(1);(3);()
124;3;0.083046;(19);(4);(0);(8);(0);(9);(8);(4);(3,2,2,0);(2);(3,2);()
124;4;0.0585604;(19);(4);(0);(8);(2);(10);(7);(6);(3,2,2,0,3,1);(2);(0,3);()
124;5;0.0528357;(19);(4);(0);(9);(2);(9);(7);(7);(1,3,2,2,0,3,1);(1);(3);()
124;6;0.0363977;(19);(4);(0);(8);(0);(9);(9);(4);(3,2,2,0);(3);(3,2,2);()
124;7;0.0338946;(19);(4);(0);(8);(4);(9);(7);(8);(3,2,2,0,3,1,1,1);(1);(3);()
124;8;0.0305986;(19);(4);(0);(8);(0);(10);(7);(4);(3,2,2,0);(2);(0,3);()
124;9;0.0292983;(19);(4);(0);(8);(2);(9);(9);(6);(3,2,2,0,3,1);(3);(3,2,2);()
124;10;0.0259869;(19);(4);(0);(8);(3);(9);(7);(7);(3,2,2,0,3,1,1);(1);(3);()
129;1;0.541625;(29);(4);(0);(10);(6);(4);(7);(6);(1,0,3,0,0,0);(6);(2,0,0,2,2,1);()
129;2;0.112084;(29);(4);(0);(10);(6);(5);(7);(6);(1,0,3,0,0,0);(7);(3,2,0,0,2,2,1);()
129;3;0.0843607;(29);(4);(0);(10);(7);(4);(7);(7);(1,0,3,0,0,0,2);(6);(2,0,0,2,2,1);()
129;4;0.042958;(29);(4);(0);(10);(6);(4);(8);(6);(1,0,3,0,0,0);(7);(2,0,0,2,2,1,2);()
129;5;0.0375698;(29);(4);(0);(10);(6);(6);(7);(6);(1,0,3,0,0,0);(8);(0,3,2,0,0,2,2,1);()
129;6;0.0293232;(29);(4);(0);(10);(8);(4);(7);(8);(1,0,3,0,0,0,2,0);(6);(2,0,0,2,2,1);()
129;7;0.024658;(29);(4);(0);(11);(6);(4);(7);(7);(1,1,0,3,0,0,0);(6);(2,0,0,2,2,1);()
129;8;0.0210121;(29);(4);(0);(10);(6);(4);(9);(6);(1,0,3,0,0,0);(8);(2,0,0,2,2,1,2,2);()
129;9;0.0174576;(29);(4);(0);(10);(7);(5);(7);(7);(1,0,3,0,0,0,2);(7);(3,2,0,0,2,2,1);()
129;10;0.00883975;(29);(4);(0);(10);(6);(5);(8);(6);(1,0,3,0,0,0);(8);(3,2,0,0,2,2,1,2);()
130;1;0.188249;(30);(14);(0);(4);(2);(6);(9);(5);(3,1,1,2,0);(1);(0);()
130;2;0.170115;(30);(14);(0);(4);(2);(7);(9);(5);(3,1,1,2,0);(2);(1,0);()
130;3;0.0881311;(30);(14);(0);(4);(2);(6);(10);(5);(3,1,1,2,0);(2);(0,2);()
130;4;0.0540886;(30);(14);(0);(5);(2);(6);(9);(6);(1,3,1,1,2,0);(1);(0);()
130;5;0.0497673;(30);(14);(0);(4);(2);(7);(10);(5);(3,1,1,2,0);(3);(1,0,2);()
130;6;0.0488782;(30);(14);(0);(5);(2);(7);(9);(6);(1,3,1,1,2,0);(2);(1,0);()
130;7;0.0273456;(30);(14);(0);(4);(4);(6);(9);(7);(3,1,1,2,0,1,1);(1);(0);()
130;8;0.0268539;(30);(14);(0);(4);(2);(8);(9);(5);(3,1,1,2,0);(3);(1,1,0);()
130;9;0.0253222;(30);(14);(0);(5);(2);(6);(10);(6);(1,3,1,1,2,0);(2);(0,2);()
130;10;0.0247113;(30);(14);(0);(4);(4);(7);(9);(7);(3,1,1,2,0,1,1);(2);(1,0);()
126;1;0.199944;(49);(7);(0);(5);(2);(10);(7);(3);(1,1,1);(5);(1,2,3,0,2);(74)
126;2;0.164405;(49);(7);(0);(5);(2);(10);(6);(3);(1,1,1);(4);(1,2,3,0);(74)
126;3;0.0818769;(49);(7);(0);(5);(4);(10);(6);(5);(1,1,1,1,1);(4);(1,2,3,0);(74)
126;4;0.045186;(49);(7);(0);(5);(4);(10);(7);(5);(1,1,1,1,1);(5);(1,2,3,0,2);(74)
126;5;0.0410104;(49);(7);(0);(6);(2);(10);(7);(4);(2,1,1,1);(5);(1,2,3,0,2);(74)
126;6;0.0402081;(49);(7);(0);(5);(3);(10);(6);(4);(1,1,1,1);(4);(1,2,3,0);(74)
126;7;0.0374295;(49);(7);(0);(5);(3);(10);(7);(4);(1,1,1,1);(5);(1,2,3,0,2);(74)
126;8;0.0337211;(49);(7);(0);(6);(2);(10);(6);(4);(2,1,1,1);(4);(1,2,3,0);(74)
126;9;0.0307098;(49);(7);(0);(5);(2);(11);(7);(3);(1,1,1);(6);(1,1,2,3,0,2);(74)
126;10;0.023643;(49);(7);(0);(5);(2);(11);(6);(3);(1,1,1);(5);(1,1,2,3,0);(74)
133;1;0.195715;(61);(8);(0);(10);(7);(10);(4);(2);(2,0);(2);(1,2);()
133;2;0.0967076;(61);(8);(0);(10);(7);(11);(4);(2);(2,0);(3);(1,1,2);()
133;3;0.0608554;(61);(8);(0);(10);(8);(10);(4);(3);(2,0,0);(2);(1,2);()
